"Date","Close","Open","High","Low","Vol.","Change %"
"Apr 21","19.9875","20.6450","20.6750","19.7300","-","-3.18%"
"Mar 21","20.6450","28.1425","28.1425","16.6825","-","-26.64%"
"Feb 21","28.1425","25.3425","29.6450","19.3450","-","11.05%"
"Jan 21","25.3425","21.0950","25.9900","17.3800","-","20.14%"
"Dec 20","21.0950","19.8175","24.4800","14.0525","-","6.45%"
"Nov 20","19.8175","24.7525","29.5250","15.7200","-","-19.94%"
"Oct 20","24.7525","19.5300","26.3000","15.4650","-","26.74%"
"Sep 20","19.5300","22.8350","23.8175","15.7550","-","-14.47%"
"Aug 20","22.8350","24.1925","25.6900","14.8850","-","-5.61%"
"Jul 20","24.1925","29.1175","29.1625","22.0900","-","-16.91%"
"Jun 20","29.1175","30.2200","35.3125","25.9200","-","-3.65%"
"May 20","30.2200","33.9875","43.9200","26.3350","-","-11.08%"
"Apr 20","33.9875","64.4075","64.4075","31.4825","-","-47.23%"
"Mar 20","64.4075","23.2350","86.6350","19.9200","-","177.20%"
"Feb 20","23.2350","17.3675","23.6975","10.1650","-","33.78%"
"Jan 20","17.3675","11.6675","17.6150","10.6850","-","48.85%"
"Dec 19","11.6675","13.8975","16.3425","9.6175","-","-16.05%"
"Nov 19","13.8975","16.2800","16.7650","11.6075","-","-14.63%"
"Oct 19","16.2800","15.8725","18.4275","13.5725","-","2.57%"
"Sep 19","15.8725","16.2825","18.5325","13.2775","-","-2.52%"
"Aug 19","16.2825","13.5900","19.1450","13.2725","-","19.81%"
"Jul 19","13.5900","14.9525","15.0200","9.1625","-","-9.11%"
"Jun 19","14.9525","16.0675","16.2325","10.6025","-","-6.94%"
"May 19","16.0675","21.8275","30.1825","13.4800","-","-26.39%"
"Apr 19","21.8275","17.1850","26.3175","16.5500","-","27.01%"
"Mar 19","17.1850","18.2775","18.2775","11.8450","-","-5.98%"
"Feb 19","18.2775","17.1225","19.9775","11.7000","-","6.75%"
"Jan 19","17.1225","16.0000","19.7950","12.0150","-","7.02%"
"Dec 18","16.0000","19.1625","20.6450","11.8700","-","-16.50%"
"Nov 18","19.1625","19.7975","20.5275","13.5150","-","-3.21%"
"Oct 18","19.7975","16.9950","22.8150","14.2800","-","16.49%"
"Sep 18","16.9950","12.5975","18.3100","10.9825","-","34.91%"
"Aug 18","12.5975","12.4800","13.8650","9.4300","-","0.94%"
"Jul 18","12.4800","12.9375","13.9425","10.0150","-","-3.54%"
"Jun 18","12.9375","13.2225","15.4700","9.7400","-","-2.16%"
"May 18","13.2225","12.3625","14.9425","10.8550","-","6.96%"
"Apr 18","12.3625","15.7575","16.4850","9.7425","-","-21.55%"
"Mar 18","15.7575","13.8050","16.4600","11.2950","-","14.14%"
"Feb 18","13.8050","15.9300","24.0350","11.4975","-","-13.34%"
"Jan 18","15.9300","12.6700","18.4950","10.3450","-","25.73%"
"Dec 17","12.6700","13.5500","18.2575","10.1600","-","-6.49%"
"Nov 17","13.5500","12.4400","15.6050","11.0100","-","8.92%"
"Oct 17","12.4400","12.4850","12.9375","10.0325","-","-0.36%"
"Sep 17","12.4850","11.9525","14.1650","9.2575","-","4.46%"
"Aug 17","11.9525","11.9000","15.5425","10.4850","-","0.44%"
"Jul 17","11.9000","11.7325","12.0325","9.0075","-","1.43%"
"Jun 17","11.7325","11.7625","12.8675","8.7550","-","-0.26%"
"May 17","11.7625","10.8600","12.7850","8.8350","-","8.31%"
"Apr 17","10.8600","12.4200","12.7575","9.9175","-","-12.56%"
"Mar 17","12.4200","13.7925","14.7825","10.3875","-","-9.95%"
"Feb 17","13.7925","16.8250","17.4275","11.0600","-","-18.02%"
"Jan 17","16.8250","15.4650","17.0900","13.3750","-","8.79%"
"Dec 16","15.4650","16.8500","18.2950","12.6125","-","-8.22%"
"Nov 16","16.8500","15.4900","23.0925","14.1675","-","8.78%"
"Oct 16","15.4900","17.1800","17.1800","12.4325","-","-9.84%"
"Sep 16","17.1800","13.2425","19.1250","11.9475","-","29.73%"
"Aug 16","13.2425","14.9175","16.4450","10.9275","-","-11.23%"
"Jul 16","14.9175","16.2900","16.3575","12.5925","-","-8.43%"
"Jun 16","16.2900","16.0450","21.0500","13.3150","-","1.53%"
"May 16","16.0450","16.5375","18.0825","14.1950","-","-2.98%"
"Apr 16","16.5375","16.5825","18.1675","13.5500","-","-0.27%"
"Mar 16","16.5825","20.1575","20.1575","13.6950","-","-17.74%"
"Feb 16","20.1575","17.2400","26.8700","16.4875","-","16.92%"
"Jan 16","17.2400","13.8700","22.1075","13.1050","-","24.30%"
"Dec 15","13.8700","16.4300","18.3650","10.3750","-","-15.58%"
"Nov 15","16.4300","17.8800","20.1300","13.8300","-","-8.11%"
"Oct 15","17.8800","19.6250","20.1100","13.6625","-","-8.89%"
"Sep 15","19.6250","24.5950","30.4375","16.9925","-","-20.21%"
"Aug 15","24.5950","14.5700","35.5700","12.8900","-","68.81%"
"Jul 15","14.5700","16.9275","18.3750","12.0700","-","-13.93%"
"Jun 15","16.9275","16.6575","19.1175","13.7350","-","1.62%"
"May 15","16.6575","17.2250","21.9050","14.1950","-","-3.29%"
"Apr 15","17.2250","14.4925","20.0875","12.9675","-","18.85%"
"Mar 15","14.4925","16.9700","16.9700","12.3600","-","-14.60%"
"Feb 15","16.9700","20.1725","22.1225","16.6925","-","-15.88%"
"Jan 15","20.1725","15.1200","21.2100","13.1525","-","33.42%"
"Dec 14","15.1200","12.8975","19.0625","10.7150","-","17.23%"
"Nov 14","12.8975","13.2950","17.2100","9.3475","-","-2.99%"
"Oct 14","13.2950","13.1450","16.8850","11.7625","-","1.14%"
"Sep 14","13.1450","13.0675","14.8325","10.3150","-","0.59%"
"Aug 14","13.0675","13.8225","15.4725","11.8375","-","-5.46%"
"Jul 14","13.8225","17.8725","19.9475","11.9425","-","-22.66%"
"Jun 14","17.8725","16.3350","20.6050","13.7425","-","9.41%"
"May 14","16.3350","30.5925","39.3000","13.9675","-","-46.60%"
"Apr 14","30.5925","21.6225","38.0425","16.6675","-","41.48%"
"Mar 14","21.6225","14.1775","21.8000","12.5000","-","52.51%"
"Feb 14","14.1775","16.8200","20.2300","13.2375","-","-15.71%"
"Jan 14","16.8200","15.1200","18.7200","13.8800","-","11.24%"
"Dec 13","15.1200","21.3800","25.4500","14.6200","-","-29.28%"
"Nov 13","21.3800","18.3900","22.3600","17.4800","-","16.26%"
"Oct 13","18.3900","26.6500","28.0200","18.2100","-","-30.99%"
"Sep 13","26.6500","27.8100","33.0200","23.3600","-","-4.17%"
"Aug 13","27.8100","18.7700","36.0200","17.7200","-","48.16%"
"Jul 13","18.7700","17.9500","20.1100","16.1800","-","4.57%"
"Jun 13","17.9500","16.9900","22.1100","16.5900","-","5.65%"
"May 13","16.9900","15.1000","19.3600","15.1000","-","12.52%"
"Apr 13","15.1000","15.2200","17.5900","13.8100","-","-0.79%"
"Mar 13","15.2200","14.8600","17.8400","12.8300","-","2.42%"
"Feb 13","14.8600","14.1300","17.6000","13.5100","-","5.17%"
"Jan 13","14.1300","14.9500","15.4900","12.5800","-","-5.48%"
"Dec 12","14.9500","15.1500","16.7200","13.2800","-","-1.32%"
"Nov 12","15.1500","14.4000","17.2200","13.2500","-","5.21%"
"Oct 12","14.4000","16.1600","17.5900","12.8700","-","-10.89%"
"Sep 12","16.1600","17.3000","19.8300","13.8600","-","-6.59%"
"Aug 12","17.3000","16.0100","17.3500","14.6800","-","8.06%"
"Jul 12","16.0100","19.0800","19.7000","15.4200","-","-16.09%"
"Jun 12","19.0800","25.2500","28.6500","18.8000","-","-24.44%"
"May 12","25.2500","17.8200","27.2000","17.8200","-","41.69%"
"Apr 12","17.8200","22.8600","23.2900","17.6100","-","-20.38%"
"Mar 12","22.3800","26.9300","29.5500","20.5900","-","-16.90%"
"Feb 12","26.9300","22.6600","27.8700","20.3000","-","18.84%"
"Jan 12","22.6600","27.1100","28.6800","18.0100","-","-16.41%"
"Dec 11","27.1100","26.5500","31.2700","23.3700","-","2.11%"
"Nov 11","26.5500","20.7300","32.7100","20.1600","-","17.17%"
"Oct 11","22.6600","31.9400","39.0200","19.6000","-","-29.05%"
"Sep 11","31.9400","24.8800","38.1900","24.0100","-","28.38%"
"Aug 11","24.8800","19.7700","37.0000","18.3800","-","25.85%"
"Jul 11","19.7700","18.4100","21.2200","16.5500","-","7.39%"
"Jun 11","18.4100","16.8200","24.3800","16.3600","-","9.45%"
"May 11","16.8200","19.5800","24.3100","16.6700","-","-14.10%"
"Apr 11","19.5800","22.1800","23.0400","18.4500","-","-11.72%"
"Mar 11","22.1800","24.4000","27.5200","18.8300","-","-9.10%"
"Feb 11","24.4000","23.4100","29.0500","20.3800","-","4.23%"
"Jan 11","23.4100","16.5600","25.5200","15.2800","-","41.36%"
"Dec 10","16.5600","20.7100","23.7200","16.3400","-","-20.04%"
"Nov 10","20.7100","20.7600","24.9500","16.3800","-","-0.24%"
"Oct 10","20.7600","22.2500","23.9900","17.8000","-","-6.70%"
"Sep 10","22.2500","18.4700","24.4600","14.3500","-","20.47%"
"Aug 10","18.4700","18.9400","19.6300","15.2800","-","-2.48%"
"Jul 10","18.9400","21.0400","22.8900","16.2500","-","-5.63%"
"Jun 10","20.0700","26.6700","29.3800","18.3200","-","-24.06%"
"May 10","26.4300","21.3000","35.8600","20.6400","-","29.88%"
"Apr 10","20.3500","19.1600","23.3200","12.6000","-","2.42%"
"Mar 10","19.8700","23.7500","23.8100","16.7100","-","-17.28%"
"Feb 10","24.0200","26.8000","32.1400","23.7900","-","-8.08%"
"Jan 10","26.1300","23.7900","28.9200","20.3400","-","11.95%"
